CBSA,new_housing_units_permitted,year
37620,102,2011
37700,303,2011
37860,1205,2011
37900,470,2011
37980,6979,2011
38060,9081,2011
38220,69,2011
38300,2914,2011
38340,122,2011
38540,83,2011
38940,539,2011
38860,1112,2011
38900,5213,2011
39100,1190,2011
39140,302,2011
39300,1178,2011
39340,1932,2011
39380,118,2011
39460,312,2011
39540,107,2011
39580,6366,2011
39660,412,2011
39740,306,2011
39820,138,2011
39900,556,2011
40060,2709,2011
40140,4736,2011
40220,510,2011
40340,332,2011
40380,1523,2011
40420,168,2011
40580,192,2011
40660,109,2011
40900,2491,2011
40980,177,2011
41420,431,2011
41500,156,2011
41540,169,2011
41620,3457,2011
41660,145,2011
41700,7127,2011
41740,5370,2011
41860,5783,2011
41940,3097,2011
42020,306,2011
41780,48,2011
42060,231,2011
42100,208,2011
42140,94,2011
42220,632,2011
42340,1625,2011
42540,439,2011
42660,11230,2011
42680,372,2011
43100,73,2011
43300,76,2011
43340,1401,2011
43580,176,2011
43620,1129,2011
43780,467,2011
43900,532,2011
44060,1785,2011
44100,391,2011
44140,512,2011
44180,1304,2011
44220,142,2011
41060,368,2011
41100,893,2011
41140,118,2011
41180,4407,2011
44300,259,2011
44600,19,2011
44700,933,2011
44940,345,2011
45060,1220,2011
45220,1039,2011
45300,6342,2011
45460,423,2011
45500,361,2011
45780,603,2011
45820,264,2011
45940,400,2011
46060,2242,2011
46140,3565,2011
46220,743,2011
46340,262,2011
46540,254,2011
46660,660,2011
46700,387,2011
47020,148,2011
47220,182,2011
47260,5559,2011
47300,922,2011
47380,523,2011
47580,653,2011
47900,19657,2011
47940,410,2011
48140,276,2011
48300,246,2011
48540,27,2011
48660,170,2011
48620,1062,2011
48700,156,2011
48900,1831,2011
49020,452,2011
49180,1412,2011
49340,791,2011
49420,438,2011
49620,638,2011
49660,256,2011
49700,146,2011
49740,360,2011
10180,455,2012
10420,618,2012
10500,229,2012
10580,2226,2012
10740,2084,2012
10780,482,2012
10900,1069,2012
11020,97,2012
11100,1627,2012
11180,447,2012
11260,575,2012
11300,68,2012
11340,420,2012
11460,276,2012
11500,71,2012
11540,833,2012
11700,1270,2012
12020,619,2012
12060,14380,2012
12100,441,2012
12220,706,2012
12260,2267,2012
12420,19563,2012
12540,2005,2012
12580,5956,2012
12620,313,2012
12700,592,2012
12940,3387,2012
12980,137,2012
13020,95,2012
13140,1273,2012
13380,637,2012
13460,801,2012
13740,621,2012
13780,116,2012
13820,3301,2012
13900,1954,2012
13980,337,2012
14020,421,2012
14060,535,2012
14260,3556,2012
14460,8851,2012
14500,1295,2012
14540,916,2012
14740,804,2012
14860,2138,2012
15180,1154,2012
15260,464,2012
15380,1252,2012
15500,358,2012
15540,647,2012
15940,471,2012
15980,2043,2012
16020,230,2012
16180,51,2012
16220,507,2012
16300,788,2012
16580,734,2012
16620,277,2012
16700,4593,2012
16740,12247,2012
16820,1212,2012
16860,1315,2012
16940,371,2012
16980,9357,2012
17020,351,2012
17140,3604,2012
17300,1896,2012
17420,410,2012
17460,2332,2012
17660,878,2012
17780,2003,2012
17820,3011,2012
17860,1228,2012
17900,3729,2012
17980,1232,2012
18020,200,2012
18140,6811,2012
18580,1496,2012
18700,312,2012
18880,922,2012
19060,88,2012
19100,35042,2012
19140,63,2012
19180,13,2012
19260,161,2012
19340,686,2012
19380,1136,2012
19460,142,2012
19500,79,2012
19660,760,2012
19740,13760,2012
19780,4167,2012
19820,4525,2012
20020,554,2012
20100,865,2012
20220,395,2012
20260,474,2012
20500,3314,2012
20740,605,2012
20940,287,2012
21340,4355,2012
21060,507,2012
21140,221,2012
21300,139,2012
21500,488,2012
21660,802,2012
21780,749,2012
21820,46,2012
22020,2211,2012
22140,176,2012
22180,3040,2012
22220,1923,2012
22380,818,2012
22420,122,2012
22500,313,2012
22520,456,2012
22540,249,2012
22660,1868,2012
22900,625,2012
23060,1230,2012
23420,1844,2012
23460,90,2012
23540,624,2012
23580,303,2012
24020,296,2012
24140,263,2012
24220,515,2012
24300,355,2012
24340,1286,2012
24500,129,2012
24540,1241,2012
24580,923,2012
24660,1887,2012
24780,781,2012
24860,2398,2012
25060,1520,2012
25180,723,2012
25260,272,2012
25420,1916,2012
25500,644,2012
25540,1323,2012
25620,228,2012
25860,335,2012
25980,219,2012
26100,771,2012
26180,1724,2012
26300,44,2012
26380,569,2012
26420,43290,2012
26580,282,2012
26620,2347,2012
26820,379,2012
26900,4994,2012
26980,795,2012
27060,269,2012
27100,78,2012
27140,1421,2012
27180,520,2012
27260,7166,2012
27340,2260,2012
27500,125,2012
27620,226,2012
27740,604,2012
27780,71,2012
27860,988,2012
27900,279,2012
28020,470,2012
28100,72,2012
28140,4981,2012
28420,1625,2012
28660,2646,2012
28700,439,2012
28740,214,2012
28940,1904,2012
29020,177,2012
29100,338,2012
29140,543,2012
29180,1343,2012
29340,605,2012
29420,345,2012
29460,1522,2012
29540,1160,2012
29620,599,2012
29700,1506,2012
29740,951,2012
29820,7375,2012
29940,471,2012
30020,287,2012
30140,224,2012
30300,33,2012
30340,129,2012
30460,2318,2012
30620,80,2012
30700,1249,2012
30780,3313,2012
30860,841,2012
30980,695,2012
31020,132,2012
31100,17447,2012
31140,3671,2012
31180,1467,2012
31340,901,2012
31420,505,2012
31460,157,2012
31540,2442,2012
31700,620,2012
31740,675,2012
31860,529,2012
31900,53,2012
32580,3492,2012
32780,549,2012
32820,3506,2012
32900,137,2012
33100,13261,2012
33140,306,2012
33260,1009,2012
33340,1764,2012
33460,11493,2012
33540,337,2012
33660,896,2012
