GEOID,NAME,B25064_001,year
36301,ZCTA5 36301,647,2013
36303,ZCTA5 36303,624,2013
36305,ZCTA5 36305,873,2013
36310,ZCTA5 36310,520,2013
36311,ZCTA5 36311,496,2013
36312,ZCTA5 36312,612,2013
36313,ZCTA5 36313,NA,2013
36314,ZCTA5 36314,386,2013
36316,ZCTA5 36316,615,2013
36317,ZCTA5 36317,NA,2013
36318,ZCTA5 36318,NA,2013
36319,ZCTA5 36319,449,2013
36320,ZCTA5 36320,564,2013
36321,ZCTA5 36321,716,2013
36322,ZCTA5 36322,635,2013
36323,ZCTA5 36323,486,2013
36330,ZCTA5 36330,695,2013
36340,ZCTA5 36340,604,2013
36343,ZCTA5 36343,438,2013
36344,ZCTA5 36344,494,2013
36345,ZCTA5 36345,594,2013
36346,ZCTA5 36346,619,2013
36350,ZCTA5 36350,553,2013
36351,ZCTA5 36351,504,2013
36352,ZCTA5 36352,508,2013
36353,ZCTA5 36353,533,2013
36360,ZCTA5 36360,533,2013
36362,ZCTA5 36362,1165,2013
36370,ZCTA5 36370,606,2013
36371,ZCTA5 36371,683,2013
36373,ZCTA5 36373,425,2013
36374,ZCTA5 36374,693,2013
36375,ZCTA5 36375,617,2013
36376,ZCTA5 36376,676,2013
36401,ZCTA5 36401,535,2013
36420,ZCTA5 36420,567,2013
36421,ZCTA5 36421,549,2013
36425,ZCTA5 36425,525,2013
36426,ZCTA5 36426,599,2013
36432,ZCTA5 36432,522,2013
36435,ZCTA5 36435,NA,2013
36436,ZCTA5 36436,NA,2013
36439,ZCTA5 36439,636,2013
36441,ZCTA5 36441,576,2013
36442,ZCTA5 36442,633,2013
36444,ZCTA5 36444,NA,2013
36445,ZCTA5 36445,503,2013
36446,ZCTA5 36446,763,2013
36451,ZCTA5 36451,434,2013
36453,ZCTA5 36453,518,2013
36454,ZCTA5 36454,NA,2013
36455,ZCTA5 36455,725,2013
36456,ZCTA5 36456,375,2013
36460,ZCTA5 36460,531,2013
36467,ZCTA5 36467,565,2013
36470,ZCTA5 36470,NA,2013
36471,ZCTA5 36471,330,2013
36473,ZCTA5 36473,NA,2013
36474,ZCTA5 36474,763,2013
36475,ZCTA5 36475,587,2013
36476,ZCTA5 36476,NA,2013
36477,ZCTA5 36477,443,2013
36480,ZCTA5 36480,651,2013
36481,ZCTA5 36481,NA,2013
36482,ZCTA5 36482,NA,2013
36483,ZCTA5 36483,NA,2013
36502,ZCTA5 36502,566,2013
36505,ZCTA5 36505,969,2013
36507,ZCTA5 36507,620,2013
36509,ZCTA5 36509,754,2013
36511,ZCTA5 36511,NA,2013
36512,ZCTA5 36512,NA,2013
36513,ZCTA5 36513,NA,2013
36518,ZCTA5 36518,517,2013
36521,ZCTA5 36521,780,2013
36522,ZCTA5 36522,702,2013
36523,ZCTA5 36523,444,2013
36524,ZCTA5 36524,463,2013
36525,ZCTA5 36525,741,2013
36526,ZCTA5 36526,1030,2013
36527,ZCTA5 36527,1120,2013
36528,ZCTA5 36528,1038,2013
36529,ZCTA5 36529,NA,2013
36530,ZCTA5 36530,799,2013
36532,ZCTA5 36532,965,2013
36535,ZCTA5 36535,745,2013
36538,ZCTA5 36538,NA,2013
36539,ZCTA5 36539,NA,2013
36540,ZCTA5 36540,NA,2013
36541,ZCTA5 36541,732,2013
36542,ZCTA5 36542,875,2013
36543,ZCTA5 36543,NA,2013
36544,ZCTA5 36544,652,2013
36545,ZCTA5 36545,537,2013
36548,ZCTA5 36548,NA,2013
36549,ZCTA5 36549,679,2013
36550,ZCTA5 36550,NA,2013
36551,ZCTA5 36551,967,2013
36553,ZCTA5 36553,720,2013
36555,ZCTA5 36555,1042,2013
36556,ZCTA5 36556,NA,2013
36558,ZCTA5 36558,521,2013
36559,ZCTA5 36559,NA,2013
36560,ZCTA5 36560,653,2013
36561,ZCTA5 36561,1325,2013
36562,ZCTA5 36562,817,2013
36564,ZCTA5 36564,NA,2013
36567,ZCTA5 36567,766,2013
36568,ZCTA5 36568,NA,2013
36569,ZCTA5 36569,NA,2013
36571,ZCTA5 36571,800,2013
36572,ZCTA5 36572,940,2013
36574,ZCTA5 36574,NA,2013
36575,ZCTA5 36575,861,2013
36576,ZCTA5 36576,977,2013
36578,ZCTA5 36578,NA,2013
36579,ZCTA5 36579,NA,2013
36580,ZCTA5 36580,788,2013
36581,ZCTA5 36581,NA,2013
36582,ZCTA5 36582,678,2013
36583,ZCTA5 36583,NA,2013
36584,ZCTA5 36584,NA,2013
36585,ZCTA5 36585,NA,2013
36587,ZCTA5 36587,745,2013
36590,ZCTA5 36590,NA,2013
36602,ZCTA5 36602,471,2013
36603,ZCTA5 36603,590,2013
36604,ZCTA5 36604,688,2013
36605,ZCTA5 36605,687,2013
