"EventID","EventType","StartDateTime","EndDateTime","EnteredOn","EventAgency","ParkingHeld","Borough","CommunityBoard(s)","PolicePrecinct(s)","Category","SubCategoryName","Country","ZipCode(s)"
"814626","Shooting Permit","10/07/2024 10:00:00 AM","10/08/2024 12:00:00 PM","10/03/2024 06:17:32 PM","Mayor's Office of Media & Entertainment","12 VILLAGE EAST RD between VILLAGE RD N and GRAVESEND NECK RD,  GRAVESEND NECK ROAD between MCDONALD AVENUE and WEST STREET","Brooklyn","15,","61,","Film","Feature","United States of America","11223,"
"814613","Theater Load in and Load Outs","10/27/2024 12:01:00 PM","11/10/2024 11:59:00 PM","10/03/2024 04:40:00 PM","Mayor's Office of Media & Entertainment","AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  WEST   62 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE","Manhattan","7,","20,","Theater","Theater","United States of America","10023,"
"814612","Theater Load in and Load Outs","10/12/2024 12:01:00 PM","10/26/2024 11:59:00 PM","10/03/2024 04:38:30 PM","Mayor's Office of Media & Entertainment","AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  WEST   62 STREET between AMSTERDAM AVENUE and COLUMBUS AVENUE","Manhattan","7,","20,","Theater","Theater","United States of America","10023,"
"814610","Shooting Permit","10/10/2024 06:00:00 AM","10/10/2024 05:00:00 PM","10/03/2024 04:29:02 PM","Mayor's Office of Media & Entertainment","WEST   46 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5,","18,","Film","Feature","United States of America","10036,"
"814601","Shooting Permit","10/10/2024 07:00:00 AM","10/10/2024 11:00:00 PM","10/03/2024 03:40:54 PM","Mayor's Office of Media & Entertainment","RUSSELL STREET between GREENPOINT AVENUE and NORMAN AVENUE,  NORTH HENRY STREET between GREENPOINT AVENUE and NORMAN AVENUE","Brooklyn","1,","94,","Television","Episodic series","United States of America","11222,"
"814579","Theater Load in and Load Outs","10/10/2024 06:00:00 AM","10/11/2024 05:30:00 AM","10/03/2024 02:35:50 PM","Mayor's Office of Media & Entertainment","AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  BROADWAY between WEST   74 STREET and WEST   75 STREET,  WEST   75 STREET between AMSTERDAM AVENUE and BROADWAY","Manhattan","7,","20,","Theater","Theater","United States of America","10023,"
"814578","Theater Load in and Load Outs","10/09/2024 06:00:00 AM","10/10/2024 05:30:00 AM","10/03/2024 02:35:15 PM","Mayor's Office of Media & Entertainment","AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  BROADWAY between WEST   74 STREET and WEST   75 STREET,  WEST   75 STREET between AMSTERDAM AVENUE and BROADWAY","Manhattan","7,","20,","Theater","Theater","United States of America","10023,"
"814577","Theater Load in and Load Outs","10/08/2024 06:00:00 AM","10/09/2024 05:30:00 AM","10/03/2024 02:34:37 PM","Mayor's Office of Media & Entertainment","AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  BROADWAY between WEST   74 STREET and WEST   75 STREET,  WEST   75 STREET between BROADWAY and AMSTERDAM AVENUE","Manhattan","7,","20,","Theater","Theater","United States of America","10023,"
"814576","Theater Load in and Load Outs","10/05/2024 06:00:00 AM","10/06/2024 06:00:00 AM","10/03/2024 02:33:53 PM","Mayor's Office of Media & Entertainment","AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  BROADWAY between WEST   74 STREET and WEST   75 STREET,  WEST   75 STREET between AMSTERDAM AVENUE and BROADWAY","Manhattan","7,","20,","Theater","Theater","United States of America","10023,"
"814562","Shooting Permit","10/12/2024 06:00:00 AM","10/12/2024 10:00:00 PM","10/03/2024 01:58:18 PM","Mayor's Office of Media & Entertainment","NORTH HENRY STREET between GREENPOINT AVENUE and NORMAN AVENUE,  MESEROLE AVENUE between NORTH HENRY STREET and HUMBOLDT STREET,  RUSSELL STREET between MESEROLE AVENUE and NORMAN AVENUE","Brooklyn","1,","94,","Commercial","Commercial","United States of America","11222,"
"814555","Shooting Permit","10/11/2024 06:00:00 AM","10/11/2024 10:00:00 PM","10/03/2024 01:44:56 PM","Mayor's Office of Media & Entertainment","NORTH HENRY STREET between GREENPOINT AVENUE and NORMAN AVENUE,  MESEROLE AVENUE between NORTH HENRY STREET and HUMBOLDT STREET,  RUSSELL STREET between NORMAN AVENUE and MESEROLE AVENUE","Brooklyn","1,","94,","Commercial","Commercial","United States of America","11222,"
